M,Scheduling,Chunk,T1,T2,T4,T8,T12,S2,S4,S8
121000,Static,50,0.050988,0.028695,0.0410084,0.026292,0.0275985,1.7769,1.24335,1.9393
121000,Static,100,0.0462002,0.0272206,0.0239146,0.0286009,0.0254949,1.69725,1.93188,1.61534
121000,Dynamic,50,0.0513706,0.0266947,0.0250602,0.0251763,0.0283061,1.92437,2.04989,2.04044
121000,Dynamic,100,0.0468446,0.0266431,0.0250437,0.0264976,0.0240548,1.75823,1.87051,1.76788
121000,Guided,50,0.0453658,0.0265205,0.0253534,0.0259217,0.0259617,1.71059,1.78934,1.75011
121000,Guided,100,0.0453184,0.0309408,0.0257073,0.0249576,0.0247351,1.46468,1.76286,1.81582
